time,orthogonalstrength_x,orthogonalstrength_y,orthogonalstrength_z
1567977298.7311068,23463999999.999996,-1050999999.9999999,39746000000.0
1567977298.831153,23463999999.999996,-1050999999.9999999,39746000000.0
1567977298.9313328,23463999999.999996,-1050999999.9999999,39746000000.0
1567977299.0311046,23463999999.999996,-1050999999.9999999,39746000000.0
1567977299.1312094,23463999999.999996,-1050999999.9999999,39746000000.0
1567977299.2312875,23463999999.999996,-1050999999.9999999,39746000000.0
1567977299.3311083,23463999999.999996,-1050999999.9999999,39746000000.0
1567977299.4313014,23463999999.999996,-1050999999.9999999,39746000000.0
1567977299.5312715,23463999999.999996,-1050999999.9999999,39746000000.0
1567977299.6311655,23463999999.999996,-1050999999.9999999,39746000000.0
1567977299.731352,23463999999.999996,-1050999999.9999999,39746000000.0
1567977299.8312855,23463999999.999996,-1050999999.9999999,39746000000.0
1567977299.9311283,23463999999.999996,-1050999999.9999999,39746000000.0
1567977300.031236,23463999999.999996,-1050999999.9999999,39746000000.0
1567977300.131123,23463999999.999996,-1050999999.9999999,39746000000.0
1567977300.2311075,23463999999.999996,-1050999999.9999999,39746000000.0
1567977300.3311672,23463999999.999996,-1050999999.9999999,39746000000.0
1567977300.4311764,23463999999.999996,-1050999999.9999999,39746000000.0
1567977300.5311205,23463999999.999996,-1050999999.9999999,39746000000.0
1567977300.6311808,23463999999.999996,-1050999999.9999999,39746000000.0
1567977300.731261,23463999999.999996,-1050999999.9999999,39746000000.0
1567977300.8311703,23463999999.999996,-1050999999.9999999,39746000000.0
1567977300.9312623,23463999999.999996,-1050999999.9999999,39746000000.0
1567977301.0311325,23463999999.999996,-1050999999.9999999,39746000000.0
1567977301.1311471,23463999999.999996,-1050999999.9999999,39746000000.0
1567977301.2312422,23463999999.999996,-1050999999.9999999,39746000000.0
1567977301.331165,23463999999.999996,-1050999999.9999999,39746000000.0
1567977301.4312172,23463999999.999996,-1050999999.9999999,39746000000.0
1567977301.5312178,23463999999.999996,-1050999999.9999999,39746000000.0
1567977301.6311543,23463999999.999996,-1050999999.9999999,39746000000.0
1567977301.7312062,23463999999.999996,-1050999999.9999999,39746000000.0
1567977301.8311007,23463999999.999996,-1050999999.9999999,39746000000.0
1567977301.9311914,23463999999.999996,-1050999999.9999999,39746000000.0
1567977302.0312185,23463999999.999996,-1050999999.9999999,39746000000.0
1567977302.1312726,23463999999.999996,-1050999999.9999999,39746000000.0
1567977302.2311895,23463999999.999996,-1050999999.9999999,39746000000.0
1567977302.3312778,23463999999.999996,-1050999999.9999999,39746000000.0
1567977302.4313486,23463999999.999996,-1050999999.9999999,39746000000.0
1567977302.531294,23463999999.999996,-1050999999.9999999,39746000000.0
1567977302.6311417,23463999999.999996,-1050999999.9999999,39746000000.0
1567977302.7311785,23463999999.999996,-1050999999.9999999,39746000000.0
1567977302.83118,23463999999.999996,-1050999999.9999999,39746000000.0
1567977302.9312499,23463999999.999996,-1050999999.9999999,39746000000.0
1567977303.0311105,23463999999.999996,-1050999999.9999999,39746000000.0
1567977303.1312873,23463999999.999996,-1050999999.9999999,39746000000.0
1567977303.2311215,23463999999.999996,-1050999999.9999999,39746000000.0
1567977303.3312273,23463999999.999996,-1050999999.9999999,39746000000.0
1567977303.4312496,23463999999.999996,-1050999999.9999999,39746000000.0
1567977303.5311944,23463999999.999996,-1050999999.9999999,39746000000.0
1567977303.6312509,23463999999.999996,-1050999999.9999999,39746000000.0
1567977303.7311845,23463999999.999996,-1050999999.9999999,39746000000.0
1567977303.831119,23463999999.999996,-1050999999.9999999,39746000000.0
1567977303.931195,23463999999.999996,-1050999999.9999999,39746000000.0
1567977304.0312376,23463999999.999996,-1050999999.9999999,39746000000.0
1567977304.1312046,23463999999.999996,-1050999999.9999999,39746000000.0
1567977304.2313018,23463999999.999996,-1050999999.9999999,39746000000.0
1567977304.3312097,23463999999.999996,-1050999999.9999999,39746000000.0
1567977304.4312434,23463999999.999996,-1050999999.9999999,39746000000.0
1567977304.5312667,23463999999.999996,-1050999999.9999999,39746000000.0
1567977304.631209,23463999999.999996,-1050999999.9999999,39746000000.0
1567977304.7313187,23463999999.999996,-1050999999.9999999,39746000000.0
1567977304.8311477,23463999999.999996,-1050999999.9999999,39746000000.0
1567977304.9312239,23463999999.999996,-1050999999.9999999,39746000000.0
1567977305.0312347,23463999999.999996,-1050999999.9999999,39746000000.0
1567977305.131172,23463999999.999996,-1050999999.9999999,39746000000.0
1567977305.231286,23463999999.999996,-1050999999.9999999,39746000000.0
1567977305.331156,23463999999.999996,-1050999999.9999999,39746000000.0
1567977305.4312038,23463999999.999996,-1050999999.9999999,39746000000.0
1567977305.5312238,23463999999.999996,-1050999999.9999999,39746000000.0
1567977305.6311922,23463999999.999996,-1050999999.9999999,39746000000.0
